,Open,High,Low,Close,Volume
0,25.19,25.64,24.9,25.57,56409085
1,25.6,25.94,25.59,25.91,46189650
2,25.93,26.47,25.91,26.27,54893195
3,26.48,26.63,26.21,26.31,45703307
4,26.39,26.51,26.09,26.47,39461729
5,26.29,26.41,25.92,26.12,47034594
6,26.13,26.33,25.9,26.14,53005009
7,26.05,26.52,25.87,25.97,54026675
8,25.96,26.18,25.54,25.79,46311963
9,25.59,25.75,25.32,25.52,89043324
10,22.87,23.06,22.36,22.6,282104769
11,22.8,22.87,22.39,22.4,196361139
12,22.44,22.47,21.75,21.76,155494771
13,21.92,21.93,21.1,21.35,155149599
14,21.53,21.59,21.24,21.28,107260809
15,21.4,21.42,21.1,21.21,110327101
16,21.4,21.75,21.27,21.49,101993203
17,21.75,21.9,21.55,21.67,75189388
18,21.83,21.93,21.59,21.65,60422489
19,21.69,21.71,21.25,21.26,79350790
20,21.24,21.59,21.23,21.55,71661338
21,21.56,21.68,21.18,21.2,87510771
22,21.14,21.17,20.73,20.74,101422619
23,20.85,20.85,20.5,20.61,66862028
24,20.62,20.94,20.52,20.67,95326012
25,20.78,20.84,20.54,20.67,77626359
26,20.77,21.25,20.72,21.0,81808399
27,21.02,21.34,20.81,21.29,83023221
28,21.18,21.44,21.07,21.13,65892019
29,21.18,21.47,21.13,21.37,60129138
30,21.35,21.47,21.21,21.35,67234473
31,21.36,21.45,21.18,21.35,70979098
32,21.0,21.04,20.56,20.61,116649006
33,20.66,20.74,20.5,20.62,67232626
34,20.42,20.45,19.9,20.15,138570653
35,20.18,20.49,19.88,20.29,85301464
36,20.19,20.53,20.13,20.36,73157067
37,20.47,20.79,20.43,20.52,87190140
38,20.55,21.01,20.5,20.6,93254610
39,20.73,21.0,20.67,20.8,80769883
40,20.68,20.84,20.38,20.49,86247427
41,19.97,20.48,19.86,20.32,202825605
42,20.43,20.56,20.23,20.3,81747986
43,20.15,20.2,19.83,20.06,90713524
44,20.01,20.19,19.82,20.01,82857688
45,20.05,20.16,19.73,19.75,69752665
46,19.83,20.02,19.78,19.85,61554985
47,19.95,20.5,19.69,19.73,80534558
48,19.73,19.9,19.64,19.76,69377444
49,19.79,19.97,19.73,19.92,69811288
50,20.05,20.08,19.64,19.65,66074243
51,19.75,19.77,19.4,19.54,110841841
52,19.45,19.95,19.45,19.62,58655159
53,19.79,20.32,19.6,19.78,124284549
54,19.66,20.04,19.6,19.98,84953852
55,19.98,20.16,19.69,19.7,84379513
56,19.75,19.82,19.31,19.6,60452842
57,19.62,19.92,19.62,19.75,60292532
58,19.75,19.86,19.56,19.58,72698860
59,19.61,19.96,19.51,19.82,81242993
60,19.9,20.03,19.65,19.7,70656347
61,19.78,19.88,19.35,19.46,86898719
62,19.68,19.7,19.34,19.35,73361140
63,19.39,19.5,19.25,19.3,67112248
64,19.34,19.53,19.28,19.48,74324499
65,19.49,19.6,19.33,19.38,51711857
66,19.46,19.56,19.24,19.24,54545368
67,19.3,19.47,19.25,19.36,52175773
68,19.42,19.46,19.12,19.16,60191778
69,19.14,19.27,19.1,19.12,44103022
70,19.19,19.59,19.17,19.45,77395731
71,19.41,20.0,18.99,19.19,76275896
72,19.26,19.48,18.6,19.39,78096947
73,19.32,19.6,19.2,19.56,104032549
74,19.77,19.94,19.4,19.45,127129665
75,19.52,20.0,19.02,19.06,92187769
76,18.5,19.25,18.9,18.91,67613681
77,18.94,19.2,18.75,19.15,90284045
78,19.15,19.58,19.12,19.49,85363998
79,19.39,20.2,19.2,20.08,134533918
80,19.99,20.27,19.91,19.98,89979982
81,20.06,20.16,19.46,19.49,75872327
82,19.64,19.72,19.51,19.59,52922918
83,19.52,19.87,19.12,19.16,69940646
84,19.28,19.45,19.21,19.34,42448062
85,19.43,19.65,19.37,19.51,51090856
86,19.64,20.22,19.64,20.11,102807903
87,19.93,21.0,19.79,19.9,66292928
88,19.85,19.98,19.5,19.58,60607065
89,19.58,19.6,19.21,19.36,56989523
90,19.28,19.52,19.03,19.04,66626679
91,19.06,19.35,19.0,19.32,62478399
92,19.26,19.35,18.93,19.06,67088571
93,18.96,19.02,18.65,18.66,83398127
94,18.73,18.89,18.49,18.65,76210767
95,18.0,18.48,17.94,18.36,189170681
96,18.13,18.45,17.97,18.01,84591324
97,18.13,18.27,17.89,17.95,89362200
98,18.01,18.06,17.76,17.89,108900986
99,17.97,18.06,17.74,18.05,68218593
100,18.13,18.31,18.01,18.22,61157749
101,18.21,18.22,17.77,17.81,65610135
102,17.89,18.19,17.77,18.02,76175405
103,18.05,18.15,17.79,18.04,77001443
104,18.02,18.31,17.96,18.23,71259748
105,18.26,18.35,17.89,17.98,63922943
106,18.05,18.06,17.67,17.79,82309918
